email,ects_budget
*student1@rankmatch.test,10
*student2@rankmatch.test,10
*student3@rankmatch.test,10
*student4@rankmatch.test,10
*student5@rankmatch.test,10
student6@rankmatch.test,10
student7@rankmatch.test,10
student8@rankmatch.test,10
student9@rankmatch.test,10
student10@rankmatch.test,10
student11@rankmatch.test,10
student12@rankmatch.test,10
student13@rankmatch.test,10
student14@rankmatch.test,10
student15@rankmatch.test,10
student16@rankmatch.test,10
student17@rankmatch.test,10
student18@rankmatch.test,10
student19@rankmatch.test,10
student20@rankmatch.test,10
student21@rankmatch.test,10
student22@rankmatch.test,10
student23@rankmatch.test,10
student24@rankmatch.test,10
student25@rankmatch.test,10
student26@rankmatch.test,10
student27@rankmatch.test,10
student28@rankmatch.test,10
student29@rankmatch.test,10
student30@rankmatch.test,10
student31@rankmatch.test,10
student32@rankmatch.test,10
student33@rankmatch.test,10
student34@rankmatch.test,10
student35@rankmatch.test,10
student36@rankmatch.test,10
student37@rankmatch.test,10
student38@rankmatch.test,10
student39@rankmatch.test,10
student40@rankmatch.test,10
student41@rankmatch.test,10
student42@rankmatch.test,10
student43@rankmatch.test,10
student44@rankmatch.test,10
student45@rankmatch.test,10
